date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,split
1/1/2015,Quarter1,sweing,Thursday,8,0.8,26.16,1108,7080,98,0,0,0,59,0.940725424,0.2309905105
1/1/2015,Quarter1,sweing,Thursday,3,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478,0.08961075504
1/1/2015,Quarter1,sweing,Thursday,2,0.75,19.87,733,6000,34,0,0,0,55,0.753097531,-0.3432372228
1/1/2015,Quarter1,sweing,Thursday,1,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826,0.2701862176
1/1/2015,Quarter1,sweing,Thursday,9,0.7,28.08,872,6900,44,0,0,0,57.5,0.721126957,-0.03636563251
1/1/2015,Quarter1,sweing,Thursday,10,0.75,19.31,578,6480,45,0,0,0,54,0.712205247,-0.322635283
1/1/2015,Quarter1,sweing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,0.707045902,-0.2203636037
1/1/2015,Quarter1,finishing,Thursday,10,0.65,3.94,,960,0,0,0,0,8,0.705916667,-1.073404425
1/1/2015,Quarter1,finishing,Thursday,4,0.75,3.94,,2160,0,0,0,0,18,0.593055556,-1.345831334
1/1/2015,Quarter1,finishing,Thursday,7,0.8,2.9,,960,0,0,0,0,8,0.540729167,1.377344567
1/1/2015,Quarter1,sweing,Thursday,4,0.65,23.69,861,7200,0,0,0,0,60,0.52118,0.4875506551
1/3/2015,Quarter1,finishing,Saturday,4,0.8,4.15,,6600,0,0,0,0,20,0.988024691,0.2212833451
1/3/2015,Quarter1,finishing,Saturday,11,0.75,2.9,,5640,0,0,0,0,17,0.987880435,-2.581334729
1/3/2015,Quarter1,finishing,Saturday,9,0.8,4.15,,960,0,0,0,0,8,0.956270833,1.979433882
1/3/2015,Quarter1,finishing,Saturday,3,0.75,3.94,,1560,0,0,0,0,8,0.945277778,0.5521183013
1/3/2015,Quarter1,finishing,Saturday,1,0.8,3.94,,960,0,0,0,0,8,0.902916667,-0.1124847211
1/3/2015,Quarter1,sweing,Saturday,1,0.8,28.08,772,6300,50,0,0,0,56.5,0.800725314,-0.7586890601
1/3/2015,Quarter1,sweing,Saturday,8,0.8,26.16,1261,7080,50,0,0,0,59,0.800318644,-0.4430937292
1/3/2015,Quarter1,sweing,Saturday,12,0.8,26.16,844,7080,63,0,0,0,59,0.800318644,0.722410378
1/3/2015,Quarter1,sweing,Saturday,11,0.8,11.61,1005,7080,50,0,0,0,29.5,0.800237288,1.28370787
1/3/2015,Quarter1,sweing,Saturday,5,0.8,11.61,659,7080,50,0,0,0,31.5,0.800148649,0.1215430896
1/3/2015,Quarter1,sweing,Saturday,6,0.8,25.9,1152,6720,50,0,0,0,56,0.800125,0.08922753909
1/3/2015,Quarter1,sweing,Saturday,7,0.8,25.9,1138,6720,38,0,0,0,56,0.800125,0.3273385534
1/3/2015,Quarter1,sweing,Saturday,10,0.75,19.31,610,6480,56,0,0,0,54,0.787299691,1.894052646
1/3/2015,Quarter1,sweing,Saturday,9,0.7,28.08,1072,6900,40,0,0,0,57.5,0.699965217,-0.8614751694
1/4/2015,Quarter1,finishing,Sunday,9,0.8,3.94,,960,0,0,0,0,8,0.931645833,-0.9083496715
1/4/2015,Quarter1,finishing,Sunday,1,0.8,3.94,,960,0,0,0,0,8,0.915229167,-0.7463959481
1/4/2015,Quarter1,sweing,Sunday,6,0.8,11.61,539,6975,50,0,0,0,31,0.879714482,0.3590812172
1/4/2015,Quarter1,finishing,Sunday,4,0.8,3.94,,6600,0,0,0,0,20,0.861679012,-0.8680153209
1/4/2015,Quarter1,sweing,Sunday,9,0.8,26.16,1278,7080,60,0,0,0,59,0.850569492,-0.5148744243
1/4/2015,Quarter1,sweing,Sunday,8,0.8,25.9,1039,6780,45,0,0,0,56.5,0.850345133,-1.012383979
1/4/2015,Quarter1,sweing,Sunday,4,0.8,28.08,878,4260,50,0,0,0,55.5,0.800598058,0.8806893377
1/4/2015,Quarter1,sweing,Sunday,2,0.8,28.08,782,6660,50,0,0,0,55.5,0.800237838,-1.536550193
1/4/2015,Quarter1,finishing,Sunday,2,0.8,3.94,,960,0,0,0,0,8,0.792104167,-1.713678427
1/4/2015,Quarter1,finishing,Sunday,10,0.7,3.94,,4320,0,0,0,0,18,0.759228395,0.9492653306
1/4/2015,Quarter1,sweing,Sunday,11,0.75,19.31,513,6480,45,0,0,0,54,0.750348457,-0.01750332554
1/4/2015,Quarter1,sweing,Sunday,3,0.75,19.87,734,6600,45,0,0,0,55,0.75024303,-1.342456732
1/4/2015,Quarter1,sweing,Sunday,10,0.7,28.08,1202,6900,40,0,0,0,57.5,0.699965217,1.065402131
1/4/2015,Quarter1,finishing,Sunday,8,0.8,2.9,,960,0,0,0,0,8,0.682708333,-1.286221557
1/4/2015,Quarter1,finishing,Sunday,7,0.8,2.9,,960,0,0,0,0,8,0.667604167,-0.04681044735
1/4/2015,Quarter1,sweing,Sunday,5,0.7,45.67,884,6960,26,0,0,0,58,0.603432184,-0.7704282094
1/4/2015,Quarter1,finishing,Sunday,11,0.75,4.15,,960,0,0,0,0,8,0.345833333,-0.101106385
1/5/2015,Quarter1,finishing,Monday,1,0.8,3.94,,1920,0,0,0,0,8,0.961059028,-1.11588827
1/5/2015,Quarter1,finishing,Monday,4,0.8,3.94,,3840,0,0,0,0,16,0.893663194,0.9326745635
1/5/2015,Quarter1,finishing,Monday,3,0.75,4.15,,1920,0,0,0,0,8,0.875390625,-0.0395344182
1/5/2015,Quarter1,sweing,Monday,9,0.8,26.16,1227,7080,75,0,0,0,59,0.850569492,-0.04421135705
1/5/2015,Quarter1,finishing,Monday,9,0.8,2.9,,1920,0,0,0,0,8,0.820833333,-0.3836021485
1/5/2015,Quarter1,sweing,Monday,7,0.8,25.9,1255,6780,50,0,0,0,56.5,0.800684366,-0.2930777559
1/5/2015,Quarter1,sweing,Monday,8,0.8,25.9,1047,6780,38,0,0,0,56.5,0.800684366,0.3314955616
1/5/2015,Quarter1,sweing,Monday,1,0.8,26.16,1138,7080,63,0,0,0,59,0.800318644,-0.03571986012
1/5/2015,Quarter1,sweing,Monday,11,0.8,19.31,678,4800,50,0,0,0,55,0.800250962,0.159093552
1/5/2015,Quarter1,sweing,Monday,6,0.8,11.61,712,7200,50,0,0,0,32,0.800246011,0.9567386076
1/5/2015,Quarter1,sweing,Monday,12,0.8,11.61,1037,7200,50,0,0,0,32,0.800246011,-0.4492517806
1/5/2015,Quarter1,sweing,Monday,2,0.8,28.08,757,6900,50,0,0,0,57.5,0.800076522,-0.06065796157
1/5/2015,Quarter1,sweing,Monday,4,0.8,28.08,759,6900,50,0,0,0,57.5,0.800076522,-0.6356512224
1/5/2015,Quarter1,finishing,Monday,5,0.6,2.9,,960,0,0,0,0,8,0.759270833,-1.57740295
1/5/2015,Quarter1,sweing,Monday,10,0.75,28.08,1083,7020,45,0,0,0,58.5,0.7504,-0.5195684771
1/5/2015,Quarter1,sweing,Monday,3,0.75,19.87,944,6600,45,0,0,0,55,0.75024303,-0.7847626659
1/5/2015,Quarter1,finishing,Monday,7,0.8,3.94,,960,0,0,0,0,8,0.676666667,-1.360010069
1/5/2015,Quarter1,finishing,Monday,8,0.8,2.9,,960,0,0,0,0,8,0.664583333,0.6671465011
1/5/2015,Quarter1,sweing,Monday,5,0.6,21.98,666,6960,23,0,0,0,58,0.600028736,0.1261760472
1/6/2015,Quarter1,finishing,Tuesday,4,0.8,3.94,,4440,0,0,0,0,18,0.966781346,0.5983921819
1/6/2015,Quarter1,finishing,Tuesday,1,0.8,3.94,,1440,0,0,0,0,8,0.936496212,0.1471763221
1/6/2015,Quarter1,finishing,Tuesday,3,0.75,4.15,,1800,0,0,0,0,10,0.899166667,0.08399874667
1/6/2015,Quarter1,finishing,Tuesday,11,0.8,4.15,,2700,0,0,0,0,15,0.888686869,-0.6731542522
1/6/2015,Quarter1,finishing,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,-1.693288788
1/6/2015,Quarter1,sweing,Tuesday,1,0.8,26.16,1187,10620,75,0,0,0,59,0.850502311,-1.764503698
1/6/2015,Quarter1,sweing,Tuesday,9,0.8,26.16,1305,10620,75,0,0,0,59,0.850502311,0.3770116581
1/6/2015,Quarter1,finishing,Tuesday,10,0.75,3.94,,1440,0,0,0,0,8,0.809640152,0.7845716692
1/6/2015,Quarter1,finishing,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8,0.805909091,-0.8162225819
1/6/2015,Quarter1,sweing,Tuesday,2,0.8,28.08,716,10350,50,0,0,0,57.5,0.800594466,-0.8584434572
1/6/2015,Quarter1,sweing,Tuesday,3,0.8,19.87,963,9900,50,0,0,0,55,0.800273829,0.09121067909
1/6/2015,Quarter1,sweing,Tuesday,7,0.8,25.9,1035,10170,38,0,0,0,56.5,0.800128721,-0.436025471
1/6/2015,Quarter1,sweing,Tuesday,10,0.75,28.08,1209,10530,45,0,0,0,58.5,0.750545455,-2.380917406
1/6/2015,Quarter1,sweing,Tuesday,11,0.75,19.31,590,9900,45,0,0,0,55,0.750057851,1.583103991
1/6/2015,Quarter1,finishing,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606,0.4458149964
1/6/2015,Quarter1,sweing,Tuesday,5,0.65,21.98,808,10440,35,0,0,0,58,0.649983281,-0.5437086748
1/6/2015,Quarter1,finishing,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8,0.61625,-1.269543284
1/7/2015,Quarter1,finishing,Wednesday,1,0.8,3.94,,1440,0,0,0,0,8,0.951420455,-0.4779671411
1/7/2015,Quarter1,sweing,Wednesday,1,0.8,26.16,1179,10620,75,0,0,0,59,0.850502311,-0.6495007415
1/7/2015,Quarter1,sweing,Wednesday,9,0.8,26.16,1324,10620,75,0,0,0,59,0.850502311,1.609357528
1/7/2015,Quarter1,sweing,Wednesday,8,0.8,25.9,1135,10170,60,0,0,0,56.5,0.850136766,1.573561473
1/7/2015,Quarter1,finishing,Wednesday,3,0.75,4.15,,2700,0,0,0,0,15,0.83,0.9024005851
1/7/2015,Quarter1,finishing,Wednesday,2,0.8,3.94,,1440,0,0,0,0,8,0.813371212,-0.2575572974
1/7/2015,Quarter1,finishing,Wednesday,10,0.75,3.94,,1440,0,0,0,0,8,0.805909091,1.990458831
1/7/2015,Quarter1,finishing,Wednesday,7,0.8,2.9,,1440,0,0,0,0,8,0.804640152,0.01754584579
1/7/2015,Quarter1,sweing,Wednesday,4,0.8,28.08,990,10350,50,0,0,0,57.5,0.800594466,0.8706850616
1/7/2015,Quarter1,sweing,Wednesday,6,0.8,11.41,986,5490,50,0,0,0,30.5,0.800343766,-0.5097718448
1/7/2015,Quarter1,sweing,Wednesday,7,0.8,25.9,1066,10170,50,0,0,0,56.5,0.800128721,0.5109498214
1/7/2015,Quarter1,sweing,Wednesday,10,0.75,28.08,1144,10530,69,0,0,0,58.5,0.8,-0.3016478852
1/7/2015,Quarter1,sweing,Wednesday,5,0.7,21.98,413,9720,40,0,0,0,58,0.700480831,-1.172225347
1/7/2015,Quarter1,finishing,Wednesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606,-0.7642926486
1/7/2015,Quarter1,finishing,Wednesday,6,0.8,2.9,,1800,0,0,0,0,10,0.666515152,0.05906997281
1/7/2015,Quarter1,sweing,Wednesday,11,0.8,31.83,568,9900,40,0,0,0,55,0.412119835,-0.3405447604
1/7/2015,Quarter1,finishing,Wednesday,5,0.7,4.15,,1440,0,0,0,0,8,0.330113636,-0.3926041811
1/8/2015,Quarter2,finishing,Thursday,1,0.8,3.94,,1440,0,0,0,0,8,0.947689394,-0.6852752631
1/8/2015,Quarter2,finishing,Thursday,4,0.8,3.94,,12600,0,0,0,0,20,0.919905405,-1.118388873
1/8/2015,Quarter2,sweing,Thursday,9,0.8,26.16,1216,10620,88,0,0,0,59,0.900215716,-0.7222134396
1/8/2015,Quarter2,finishing,Thursday,9,0.8,3.94,,1440,0,0,0,0,8,0.891723485,0.3505422594
1/8/2015,Quarter2,sweing,Thursday,1,0.8,26.16,1189,10620,75,0,0,0,59,0.850502311,-2.241040865
1/8/2015,Quarter2,sweing,Thursday,4,0.8,28.08,942,10530,75,0,0,0,58.5,0.850181818,0.2427207704
1/8/2015,Quarter2,sweing,Thursday,7,0.8,25.9,1050,10170,60,0,0,0,56.5,0.850136766,1.888218051
1/8/2015,Quarter2,sweing,Thursday,8,0.8,25.9,1026,10170,60,0,0,0,56.5,0.850136766,-0.4316533367
1/8/2015,Quarter2,finishing,Thursday,2,0.8,3.94,,1440,0,0,0,0,8,0.835757576,0.5561368489
1/8/2015,Quarter2,sweing,Thursday,3,0.8,19.87,857,9900,50,0,0,0,55,0.800273829,-1.053477245
1/8/2015,Quarter2,sweing,Thursday,12,0.8,11.61,548,15120,63,0,0,0,31.5,0.800107143,0.9466017928
1/8/2015,Quarter2,sweing,Thursday,10,0.75,28.08,1066,10530,69,0,0,0,58.5,0.8,-0.1085281638
1/8/2015,Quarter2,finishing,Thursday,8,0.8,2.9,,1440,0,0,0,0,8,0.735984848,0.8856206615
1/8/2015,Quarter2,finishing,Thursday,3,0.75,4.15,,2160,0,0,0,0,12,0.712626263,-1.264937651
1/8/2015,Quarter2,finishing,Thursday,7,0.8,2.9,,1440,0,0,0,0,8,0.681060606,-2.671955325
1/8/2015,Quarter2,finishing,Thursday,11,0.8,4.15,,900,0,0,0,0,5,0.515606061,-0.007791723919
1/8/2015,Quarter2,sweing,Thursday,11,0.35,12.52,287,25920,38,0,0,0,54,0.349951389,0.134465138
1/8/2015,Quarter2,sweing,Thursday,5,0.7,42.41,724,10260,0,0,0,0,57,0.233705476,1.521762699
1/10/2015,Quarter2,finishing,Saturday,1,0.8,3.94,,2160,0,0,0,0,8,0.985,0.4889996878
1/10/2015,Quarter2,finishing,Saturday,4,0.8,3.94,,6000,0,0,0,0,20,0.911589744,1.169471336
1/10/2015,Quarter2,finishing,Saturday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,1.007762034
1/10/2015,Quarter2,sweing,Saturday,9,0.8,26.16,1122,10620,75,0,0,0,59,0.851174114,-0.2348179159
1/10/2015,Quarter2,sweing,Saturday,8,0.8,25.9,1158,10170,60,0,0,0,56.5,0.850136766,-0.5082764701
1/10/2015,Quarter2,finishing,Saturday,10,0.8,3.94,,1440,0,0,0,0,8,0.846950758,0.05425925384
1/10/2015,Quarter2,finishing,Saturday,11,0.8,4.15,,1440,0,0,0,0,8,0.817424242,-0.6049972234
1/10/2015,Quarter2,finishing,Saturday,2,0.8,3.94,,1440,0,0,0,0,8,0.817102273,-0.2477521174
1/10/2015,Quarter2,sweing,Saturday,4,0.8,28.08,660,10440,63,0,0,0,58,0.801028213,-0.3813536329
1/10/2015,Quarter2,sweing,Saturday,10,0.8,28.08,1082,10530,63,0,0,0,58.5,0.8,0.1714791845
1/10/2015,Quarter2,sweing,Saturday,3,0.75,19.87,1075,7080,45,0,0,0,56,0.750098351,0.6633824001
1/10/2015,Quarter2,sweing,Saturday,11,0.5,12.52,749,9540,38,0,0,0,53,0.673245283,-0.9725006503
1/10/2015,Quarter2,sweing,Saturday,5,0.5,20.79,966,7680,0,0,0,0,56,0.388007813,-0.4235669552
1/10/2015,Quarter2,finishing,Saturday,5,0.5,4.15,,1440,0,0,0,0,8,0.337973485,-0.4671390033
1/11/2015,Quarter2,finishing,Sunday,3,0.75,4.15,,1440,0,0,0,0,8,0.93532197,1.041834595
1/11/2015,Quarter2,finishing,Sunday,4,0.8,3.94,,3600,0,0,0,0,20,0.925643939,-0.8881098232
1/11/2015,Quarter2,sweing,Sunday,9,0.8,26.16,1095,10620,88,0,0,0,59,0.900215716,-1.07904086
1/11/2015,Quarter2,finishing,Sunday,1,0.8,3.94,,1440,0,0,0,0,8,0.873068182,-0.2756680221
1/11/2015,Quarter2,sweing,Sunday,7,0.8,25.9,1012,10170,45,0,0,0,56.5,0.850136766,0.4958803454
1/11/2015,Quarter2,sweing,Sunday,8,0.8,25.9,1209,10170,60,0,0,0,56.5,0.850136766,-1.106953052
1/11/2015,Quarter2,finishing,Sunday,10,0.8,3.94,,1440,0,0,0,0,8,0.828295455,1.301390054
1/11/2015,Quarter2,finishing,Sunday,2,0.8,3.94,,1440,0,0,0,0,8,0.820833333,0.4378661398
1/11/2015,Quarter2,sweing,Sunday,6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766,1.792443525
1/11/2015,Quarter2,sweing,Sunday,12,0.8,11.61,896,5670,50,0,0,0,31.5,0.800246753,-0.3282447218
1/11/2015,Quarter2,sweing,Sunday,10,0.8,28.08,762,10530,38,0,0,0,58.5,0.8,-0.04636588826
1/11/2015,Quarter2,sweing,Sunday,3,0.8,19.87,1043,6420,0,0,0,0,55,0.690182815,-0.09825462477
1/11/2015,Quarter2,finishing,Sunday,11,0.8,4.15,,1440,0,0,0,0,8,0.668087121,0.4020073212
1/11/2015,Quarter2,finishing,Sunday,5,0.5,4.15,,1440,0,0,0,0,8,0.609138258,-1.083930627
1/11/2015,Quarter2,sweing,Sunday,11,0.6,12.52,831,9540,30,0,0,0,53,0.600229846,1.090778941
1/11/2015,Quarter2,finishing,Sunday,6,0.8,2.9,,1440,0,0,0,0,8,0.597348485,-0.6218087372
1/11/2015,Quarter2,finishing,Sunday,7,0.8,2.9,,1440,0,0,0,0,8,0.590435606,-1.411185206
1/11/2015,Quarter2,sweing,Sunday,4,0.8,50.48,562,10440,0,0,0,0,58,0.473134796,2.545026824
1/12/2015,Quarter2,finishing,Monday,1,0.8,3.94,,1440,0,0,0,0,8,0.955151515,0.1610967975
1/12/2015,Quarter2,finishing,Monday,4,0.35,4.3,,3240,0,0,0,0,18,0.942213805,-0.8359110245
1/12/2015,Quarter2,finishing,Monday,2,0.8,3.94,,1440,0,0,0,0,8,0.880530303,-0.3500781591
1/12/2015,Quarter2,finishing,Monday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,0.5936735547
1/12/2015,Quarter2,sweing,Monday,9,0.8,26.16,1093,10620,75,0,0,0,59,0.850502311,0.3207867857
1/12/2015,Quarter2,sweing,Monday,7,0.8,25.9,1031,10170,60,0,0,0,56.5,0.850136766,0.02204172632
1/12/2015,Quarter2,sweing,Monday,8,0.8,25.9,1233,10170,60,0,0,0,56.5,0.850136766,-0.4731532347
1/12/2015,Quarter2,finishing,Monday,5,0.65,4.15,,1440,0,0,0,0,8,0.809564394,0.8608085149
1/12/2015,Quarter2,sweing,Monday,12,0.8,11.61,760,4470,50,0,0,0,31.5,0.80007657,-0.9575347693
1/12/2015,Quarter2,finishing,Monday,8,0.8,2.9,,1440,0,0,0,0,8,0.725,-1.162895645
1/12/2015,Quarter2,sweing,Monday,11,0.65,12.52,1004,9540,44,0,0,0,53,0.64998056,-1.051108252
1/12/2015,Quarter2,finishing,Monday,7,0.8,2.9,,1440,0,0,0,0,8,0.648106061,0.9894356209
1/12/2015,Quarter2,finishing,Monday,11,0.8,4.15,,1440,0,0,0,0,8,0.640577652,-1.504691461
1/13/2015,Quarter2,finishing,Tuesday,4,0.35,4.3,,2160,0,0,0,0,12,0.952020202,-0.6944961578
1/13/2015,Quarter2,finishing,Tuesday,1,0.8,3.94,,1440,0,0,0,0,2,0.951420455,2.419188392
1/13/2015,Quarter2,finishing,Tuesday,3,0.8,4.15,,1620,0,0,0,0,9,0.901262626,1.327566035
1/13/2015,Quarter2,finishing,Tuesday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,-0.6990486108
1/13/2015,Quarter2,sweing,Tuesday,1,0.8,26.16,1073,10620,75,0,0,0,59,0.850502311,-0.5378466221
1/13/2015,Quarter2,sweing,Tuesday,9,0.8,26.16,1156,10620,75,0,0,0,59,0.850502311,1.314852593
1/13/2015,Quarter2,sweing,Tuesday,8,0.8,25.9,1211,10260,60,0,0,0,57,0.850252525,0.1198172473
1/13/2015,Quarter2,sweing,Tuesday,7,0.8,25.9,1126,10170,60,0,0,0,56.5,0.850136766,1.62439189
1/13/2015,Quarter2,finishing,Tuesday,2,0.8,3.94,,1440,0,0,0,0,8,0.805909091,-2.438760002
1/13/2015,Quarter2,sweing,Tuesday,6,0.8,11.61,1004,5670,50,0,0,0,31.5,0.800246753,1.714973151
1/13/2015,Quarter2,sweing,Tuesday,12,0.8,11.61,1063,5670,50,0,0,0,31.5,0.800246753,-0.524103865
1/13/2015,Quarter2,sweing,Tuesday,2,0.8,28.08,723,10530,50,0,0,0,58.5,0.8,0.07679388025
1/13/2015,Quarter2,sweing,Tuesday,3,0.8,42.27,465,9900,54,0,0,0,55,0.705576584,-0.2054081996
1/13/2015,Quarter2,finishing,Tuesday,8,0.8,2.9,,1440,0,0,0,0,8,0.681060606,0.9033430099
1/13/2015,Quarter2,finishing,Tuesday,7,0.8,2.9,,1440,0,0,0,0,8,0.670075758,1.147449066
1/13/2015,Quarter2,finishing,Tuesday,11,0.8,4.15,,1440,0,0,0,0,8,0.601278409,-0.5313323887
1/13/2015,Quarter2,sweing,Tuesday,11,0.7,27.13,530,9540,37,0,0,0,53,0.582301029,1.95331181
1/13/2015,Quarter2,sweing,Tuesday,5,0.7,20.79,1297,10440,0,0,0,0,58,0.526810345,0.136568656
1/13/2015,Quarter2,sweing,Tuesday,4,0.5,22.4,783,10170,23,0,0,0,56.5,0.500380799,0.8708139294
1/13/2015,Quarter2,sweing,Tuesday,10,0.35,22.4,715,10170,23,0,0,0,56.5,0.35020649,1.24864035
1/14/2015,Quarter2,finishing,Wednesday,11,0.8,4.15,,1980,0,0,0,0,7,0.934607438,-0.5227660157
1/14/2015,Quarter2,finishing,Wednesday,4,0.35,4.3,,2700,0,0,0,0,8,0.908080808,-0.5763261686
1/14/2015,Quarter2,sweing,Wednesday,7,0.8,25.9,1150,10170,70,0,0,0,56.5,0.900144811,1.392857021
1/14/2015,Quarter2,finishing,Wednesday,1,0.8,3.94,,1440,0,0,0,0,8,0.891723485,0.4974768189
1/14/2015,Quarter2,finishing,Wednesday,5,0.65,4.15,,1440,0,0,0,0,15,0.864583333,-1.5892045
1/14/2015,Quarter2,finishing,Wednesday,9,0.8,3.94,,1440,0,0,0,0,8,0.858143939,1.05113263
1/14/2015,Quarter2,sweing,Wednesday,8,0.8,25.9,1218,10170,60,0,0,0,56.5,0.850136766,0.1872565409
1/14/2015,Quarter2,finishing,Wednesday,7,0.8,2.9,,1440,0,0,0,0,8,0.837594697,-0.112242084
1/14/2015,Quarter2,finishing,Wednesday,3,0.8,4.15,,1440,0,0,0,0,7,0.820833333,0.5886151694
1/14/2015,Quarter2,sweing,Wednesday,6,0.8,11.61,972,5670,38,0,0,0,31.5,0.800246753,-0.5205393495
1/14/2015,Quarter2,sweing,Wednesday,5,0.7,20.79,965,7320,0,0,0,0,58,0.700095563,-0.02152951444
1/14/2015,Quarter2,sweing,Wednesday,4,0.6,22.4,816,5100,23,0,0,0,57,0.600369686,-1.527612648
1/14/2015,Quarter2,sweing,Wednesday,11,0.35,14.61,838,7200,23,0,0,0,55,0.35003125,0.8541676116
1/14/2015,Quarter2,finishing,Wednesday,10,0.8,3.94,,1260,0,0,0,0,8,0.332359307,-0.7314550677
1/14/2015,Quarter2,sweing,Wednesday,2,0.8,51.02,1086,4260,27,0,0,0,57,0.311207464,-1.582470877
1/14/2015,Quarter2,finishing,Wednesday,2,0.8,3.94,,1260,0,0,0,0,8,0.247316017,-1.936215751
1/15/2015,Quarter3,finishing,Thursday,10,0.8,3.94,,3420,0,0,0,0,19,0.953110048,0.7752252805
1/15/2015,Quarter3,finishing,Thursday,1,0.8,3.94,,1440,0,0,0,0,8,0.884261364,0.5347764834
1/15/2015,Quarter3,finishing,Thursday,5,0.65,4.15,,1440,0,0,0,0,8,0.860653409,-0.4335759511
1/15/2015,Quarter3,sweing,Thursday,1,0.8,26.16,1160,10620,75,0,0,0,59,0.850502311,-0.729977455
1/15/2015,Quarter3,sweing,Thursday,8,0.8,25.9,1177,8970,60,0,0,0,56.5,0.850415628,-0.4158289551
1/15/2015,Quarter3,sweing,Thursday,7,0.8,25.9,1281,10170,60,0,0,0,56.5,0.850136766,1.806475407
1/15/2015,Quarter3,sweing,Thursday,6,0.8,11.61,1084,4950,38,0,0,0,31.5,0.80003139,-0.9550968942
1/15/2015,Quarter3,sweing,Thursday,12,0.8,11.61,1216,4950,50,0,0,0,31.5,0.80003139,0.8414426405
1/15/2015,Quarter3,sweing,Thursday,5,0.7,20.79,391,10440,0,0,0,0,58,0.700060345,0.1443113993
1/15/2015,Quarter3,sweing,Thursday,3,0.5,22.52,1102,10170,30,0,0,0,56.5,0.660683293,0.135779734
1/15/2015,Quarter3,sweing,Thursday,4,0.65,22.52,872,10080,26,0,0,0,56,0.650130952,1.300042555
1/15/2015,Quarter3,finishing,Thursday,8,0.8,2.9,,1440,0,0,0,0,8,0.606912879,-0.4271576345
1/15/2015,Quarter3,sweing,Thursday,10,0.6,22.52,1076,10170,23,0,0,0,56.5,0.600291767,0.5786368199
1/15/2015,Quarter3,sweing,Thursday,11,0.5,14.89,917,9900,30,0,0,0,55,0.500025069,0.6115706105
1/15/2015,Quarter3,sweing,Thursday,2,0.5,22.94,1044,9810,23,0,0,0,54.5,0.499998888,0.585459727
1/17/2015,Quarter3,finishing,Saturday,2,0.8,3.94,,1800,0,0,0,0,10,0.980909091,1.284216892
